name,recclass,mass (g),fall,year,reclat,reclong
Mount Wisting 95300,H3.3,2733,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95301,L6,250.2,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95302,L6,236.2,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95303,H5,113.2,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95304,L4,40.4,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95305,L6,3.92E+16,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95306,L6,11.2,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95307,L3.8,34.1,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95308,LL6,123.2,Found,1/1/1995,-86450000,-165433330
Mount Prestrud 95400,H5,2.4318E+16,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95401,L3.4,186.5,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95402,H5,236.3,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95403,L6,199.1,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95404,R3,39.5,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95405,H5,31.9,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95406,L6,7.24E+16,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95407,H5,45.2,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95408,L6,48.6,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95409,L6,3.32E+16,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95410,R3,41.7,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95411,R3,43.7,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95412,R3,14.6,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95413,H5,106.3,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95414,H4,93.2,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95415,L6,82.5,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95416,L6,23.7,Found,1/1/1995,-86566670,-165116670
Aggie Creek,"Iron, IIIAB",43000,Found,1/1/1942,64883330,-163166670
Cold Bay,"Pallasite, PES",320,Found,1/1/1921,55183330,-162550000
Honolulu,L5,2420,Fell,1/1/1825,21300000,-157866670
Palolo Valley,H5,682,Fell,1/1/1949,21300000,-157783330
Mount Howe 88400,H6,2.1042E+16,Found,1/1/1988,-87366670,-149500000
Mount Howe 88401,Eucrite-br,1622.7,Found,1/1/1988,-87366670,-149500000
Mount Howe 88402,H5,21.9,Found,1/1/1988,-87366670,-149500000
Mount Howe 88403,"Iron, ungrouped",2.4807E+16,Found,1/1/1988,-87366670,-149500000
Gardner Ridge 98400,L6,77.8,Found,1/1/1998,-86933330,-148550000
Gardner Ridge 98401,H4,5.3,Found,1/1/1998,-86933330,-148550000
Scott Glacier 98200,L4,311.5,Found,1/1/1998,-87033330,-148000000
Scott Glacier 98201,L6,199,Found,1/1/1998,-87033330,-148000000
Scott Glacier 98202,L6,84.3,Found,1/1/1998,-87033330,-148000000
Hope Creek,LL6,9830,Found,1/1/1998,65383330,-146266670
Klein Glacier 98300,EH3,33.6,Found,1/1/1998,-86933330,-144300000
Graves Nunataks 95200,L5,25066.1,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95201,H5,2990.5,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95202,H5,2006.4,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95203,L5,1.2059E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95204,H5,1173.7,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95205,Ureilite,1459.8,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95206,L6,933.2,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95207,H5,914.2,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95208,H3.7,778.3,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95209,Lodranite,948.8,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95210,H5,550.4,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95211,H6,5.188E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95212,H5,444.1,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95213,H5,372.8,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95214,H5,204.5,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95215,L4,3.206E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95216,L5,129.1,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95217,L5,134,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95218,H5,7.91E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95219,H5,100.8,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95220,L6,55.8,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95221,LL6,14.9,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95222,L6,1.94E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95223,H5,20.2,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95224,L4,3.1,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95225,L4,2.7,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95226,L5,1.66E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95227,L5,36.4,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95228,L6,52.2,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95229,CR2,128.9,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95230,L6,53.4,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95231,H4,16.2,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95232,L4,6.89E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 98001,H5,7296.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98002,H5,735.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98003,L5,426.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98004,H5,721.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98005,CM2,202.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98006,Eucrite-br,1.637E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98007,H5,82.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98008,H5,120.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98009,H5,116.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98010,H5,1.403E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98011,L5,104.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98012,H5,530,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98013,H4,697.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98014,H5,1130.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98015,H5,1.2019E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98016,H5,5.128E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98017,H5,341.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98018,H5,3.154E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98019,Eucrite-br,95.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98020,L5,200.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98021,H5,81.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98022,H5,62.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98023,H3.8,1.367E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98024,H3.8,59.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98025,CR2,14.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98026,Eucrite-br,6.84E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98027,H6,14.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98028,Acapulcoite,22.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98029,L5,8.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98030,Howardite,32.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98031,H4,2.3098E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98032,Ureilite,1699.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98033,Eucrite-br,123.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98034,H6,416.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98035,L5,248.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98036,L6,182.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98037,Eucrite-br,107.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98038,H6,118.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98039,Eucrite-br,72.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98040,H5,542.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98041,L6,1081.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98042,Eucrite-br,92.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98043,Eucrite-br,102.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98044,Eucrite-br,27.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98045,H4,2.604E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98046,L6,657.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98047,H5,594.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98048,H6,702.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98049,L6,2341.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98050,H3.8,337.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98051,H5,171.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98052,Eucrite-br,63.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98053,H6,145.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98054,Eucrite-br,103.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98055,Eucrite-br,1.408E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98056,H6,177.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98057,L6,6.51E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98058,L5,105.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98059,H5,6.79E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98060,H6,54,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98061,L6,121.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98062,H5,51.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98063,H6,41.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98064,H6,42.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98065,H6,53.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98066,L6,18.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98067,Eucrite-br,53.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98068,L6,51.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98069,H6,42.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98070,H6,16.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98071,H6,64.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98072,H6,29.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98073,H6,6.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98074,CM2,51.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98075,H5,20.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98076,H6,29.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98077,L6,24.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98078,L6,7.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98079,H6,3.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98080,H5,91.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98081,H6,87.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98082,H6,13.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98083,H6,23,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98084,L6,42.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98085,L6,43.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98086,L6,3.23E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98087,H3.8,22.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98088,Eucrite-br,6.46E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98089,H4,60.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98090,H5,42.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98091,H5,20.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98092,H5,20.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98093,H5,40.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98094,L6,7.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98095,L6,31.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98096,H6,45.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98097,Eucrite-br,12.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98098,Eucrite-unbr,779.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98099,H5,26.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98100,H6,1.79E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98101,L6,38.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98102,CK4,7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98103,Eucrite-br,41.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98104,L6,15.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98105,H6,13.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98106,L6,47.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98107,L6,35,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98108,Diogenite,12.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98109,L5,7.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98110,H6,70.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98111,H6,80,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98112,H6,86,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98113,Eucrite-br,63.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98114,Eucrite-br,58.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98115,L6,44.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98116,L6,66.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98117,H5,89.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98118,L6,7.84E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98119,L6,45.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98120,L6,42.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98121,H5,48,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98122,H6,12.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98123,L6,14.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98124,H5,5.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98125,H5,1.74E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98126,H5,26.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98127,H5,17.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98128,H5,1.96E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98130,L4,45.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98131,Eucrite-br,26.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98132,H6,14.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98133,H6,18.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98134,H5,22.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98135,H6,25.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98136,H5,2.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98137,H6,1.64E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98138,H5,9.8E+15,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98139,H6,63.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98141,H6,41.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98142,L6,9.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98143,L6,11,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98144,H6,13.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98145,H6,1.61E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98146,H5,3.6,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98147,L6,9.2E+15,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98148,H5,6.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98149,H6,79.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98150,H6,36.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98151,H6,52.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98152,H4,69.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98153,H4,35.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98154,H5,21.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98155,H5,33.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98156,H5,29.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98157,Eucrite-br,3.92E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98158,Eucrite-br,6.69E+16,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98159,Eucrite-br,33.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98160,H6,7.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98161,H6,7.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98162,L6,0.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98163,H6,15.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98164,L6,15.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98165,H6,11.3,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98166,H5,10.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98167,H5,4.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98168,Howardite,7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98169,LL5,22.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98170,H5,21,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98171,L3.8,8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98172,H6,13.8,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98173,L5,30,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98174,L6,8.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98175,L6,27.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98176,H6,15.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98177,H6,10,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98178,L6,7.2,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98179,H6,18.7,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98180,H5,13.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98181,L4,2.9,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98182,H6,63.5,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98183,L6,145.4,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98184,L6,119.1,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98185,H6,70,Found,1/1/1998,-86716670,-141500000
Graves Nunataks 98186,H6,29000,Found,1/1/1998,-86716670,-141500000
Gay Gulch,"Iron, IAB-sHH",483,Found,1/1/1901,63916670,-139333330
Skookum,"Iron, IVB",16000,Found,1/1/1905,63916670,-139333330
Clipperton,H3.5,277,Found,1/1/1986,11700000,-137800000
Clarion,H4,20,Found,1/1/1986,12500000,-137700000
Chilkoot,"Iron, IIIAB",43000,Found,1/1/1881,59333330,-136000000
Tagish Lake,C2-ung,10000,Fell,1/1/2000,59704440,-134201390
Wisconsin Range 90300,L/LL5,338.1,Found,1/1/1990,-84750000,-125000000
Wisconsin Range 90301,L6,805.9,Found,1/1/1990,-84750000,-125000000
Wisconsin Range 90302,H5,3864.6,Found,1/1/1990,-84750000,-125000000
Wisconsin Range 90303,L5,196.4,Found,1/1/1990,-84750000,-125000000
Wisconsin Range 91609,H4,11.1,Found,1/1/1991,-86500150,-124749500
Wisconsin Range 91619,H5,1.503E+16,Found,1/1/1991,-86153510,-124293860
Wisconsin Range 91618,LL4,197.6,Found,1/1/1991,-86152290,-124290040
Wisconsin Range 91616,L4,217.7,Found,1/1/1991,-86144670,-124285070
Wisconsin Range 91617,H5,82.9,Found,1/1/1991,-86148430,-124252790
Wisconsin Range 91600,CM2,184.1,Found,1/1/1991,-86537900,-124215600
Wisconsin Range 91608,CM2,106.7,Found,1/1/1991,-86523080,-123972550
Wisconsin Range 91607,L4,106.7,Found,1/1/1991,-86523090,-123969750
Wisconsin Range 91614,"Iron, IIIAB",299.7,Found,1/1/1991,-86134790,-123965560
Wisconsin Range 91615,LL6,13.9,Found,1/1/1991,-86117360,-123913610
Wisconsin Range 91605,L4,748.6,Found,1/1/1991,-86544880,-123848950
Wisconsin Range 91606,L5,29.1,Found,1/1/1991,-86521460,-123835980
Wisconsin Range 91601,LL5,5.877E+16,Found,1/1/1991,-86522220,-123793410
Wisconsin Range 91602,L5,83.3,Found,1/1/1991,-86526070,-123698570
Wisconsin Range 91604,L4,58.4,Found,1/1/1991,-86526530,-123688590
Wisconsin Range 91603,L4,1.0924E+16,Found,1/1/1991,-86526730,-123685880
Somesbar,H6,60,Found,1/1/1977,41383330,-123500000
Wisconsin Range 91610,H6,77.3,Found,1/1/1991,-86469730,-123463490
Wisconsin Range 91612,L6,501,Found,1/1/1991,-86478990,-123429240
Wisconsin Range 91611,L5,1.5,Found,1/1/1991,-86480870,-123402830
Wisconsin Range 91613,H5,66.2,Found,1/1/1991,-86126620,-123386140
Wisconsin Range 91623,L6,1180.5,Found,1/1/1991,-86537250,-123122910
Wisconsin Range 91624,LL5,7.11E+16,Found,1/1/1991,-86537340,-123122910
Canyon City,"Iron, IIIAB",8600,Found,1/1/1875,40900000,-123100000
Wisconsin Range 91625,L4,1.492E+16,Found,1/1/1991,-86530350,-123093650
Salem,L6,61.4,Fell,1/1/1981,44979170,-122969440
Wisconsin Range 91627,H3.8,107,Found,1/1/1991,-86509850,-122962180
Wisconsin Range 91626,L6,1.632E+16,Found,1/1/1991,-86509940,-122961370
Wisconsin Range 91628,L6,150.1,Found,1/1/1991,-86510270,-122952200
Wisconsin Range 91622,H5,440.9,Found,1/1/1991,-86513270,-122928580
Wisconsin Range 91621,H5,86.5,Found,1/1/1991,-86513390,-122924670
Sam's Valley,"Iron, IIIAB",6920,Found,1/1/1894,42533330,-122875000
Wisconsin Range 91620,L4,3.73E+16,Found,1/1/1991,-86521570,-122678700
Willamette,"Iron, IIIAB",15500000,Found,1/1/1902,45366670,-122583330
Tacoma,"Iron, IAB complex",16.7,Found,1/1/1925,47250000,-122416670
Washougal,Howardite,225,Fell,1/1/1939,45583330,-122350000
Klamath Falls,"Iron, IIIF",17000,Found,1/1/1952,42166670,-121850000
Oroville,"Iron, IIIAB",24500,Found,1/1/1893,39683330,-121633330
Bruceville,L6,83000,Found,1/1/1998,38295000,-121405000
Shingle Springs,"Iron, ungrouped",39000,Found,1/1/1869,38666670,-120933330
Sutter's Mill,C,992.5,Fell,1/1/2012,38803890,-120908060
Fitzwater Pass,"Iron, IIIF",6.54E+16,Found,1/1/1974,42038390,-120589420
Goose Lake,"Iron, IAB-sLL",1169500,Found,1/1/1938,41980000,-120541670
Great Bear Lake,H6,40,Found,1/1/1936,66000000,-120000000
Waterville,"Iron, IAB-ung",37125,Found,1/1/1917,47767778,-119876389
Withrow,"Iron, IIIAB?",8732,Found,1/1/1950,47706670,-119830000
Red Canyon Lake,H5,1841,Fell,1/1/2007,38137420,-119758120
Morrow County,L6,18200,Found,1/1/1999,45500000,-119500000
Ventura,"Iron, IAB-ung",7700,Found,1/1/1953,34250000,-119300000
Black Rock 001,L6,152,Found,1/1/2003,40867170,-119183520
Kumiva Valley,H5,3015,Found,1/1/2001,40379720,-119086390
San Emigdio,H4,36000,Found,1/1/1887,36000000,-119000000
Hot Springs,"Iron, IIIAB",4700,Found,1/1/1995,39666670,-118966670
Bluewing 029,H6,83.8,Found,1/1/2006,40262800,-118959120
Revelstoke,CI1,1,Fell,1/1/1965,51333330,-118950000
Bluewing 007,L4,324,Found,1/1/1999,40282470,-118948720
Bluewing 006,L6,355,Found,1/1/1999,40283380,-118948080
Bluewing 002,H5,23,Found,1/1/1999,40241480,-118947630
Bluewing 037,H5,3.72E+16,Found,1/1/2009,40281900,-118946930
Bluewing 005,L5,7200,Found,1/1/1999,40285630,-118946570
Bluewing 008,H5,451.7,Found,1/1/2001,40279570,-118946420
Bluewing 004,L5,113,Found,1/1/1999,40275370,-118946100
Bluewing 003,L6,95,Found,1/1/1999,40267520,-118943080
Bluewing 001,Eucrite-mmict,6.1,Found,1/1/2000,40249500,-118936830
Bluewing 030,H5,1.881E+16,Found,1/1/1999,40266670,-118933330
Bluewing 031,H5,170,Found,1/1/1999,40266670,-118933330
Bluewing 032,L5,78,Found,1/1/1999,40266670,-118933330
Bluewing 033,L5,28744,Found,1/1/1999,40266670,-118933330
Bluewing 034,H5,34,Found,1/1/1999,40266670,-118933330
Bluewing 035,L6,1256,Found,1/1/1999,40266670,-118933330
Bluewing 036,L6,1047,Found,1/1/1999,40266670,-118933330
Mandalay Spring,L6,2854,Found,1/1/2012,40892010,-118553190
Antelope,H4,754,Found,1/1/2012,40901830,-118544650
Sawtooth Knob,"Iron, IIAB",1854,Found,1/1/2002,40862170,-118541670
Neenach,L6,13800,Found,1/1/1948,34800000,-118500000
Smokey Spring,H4,254,Found,1/1/2011,40954650,-118496930
Majuba 002,H4,2420,Found,1/1/2003,40628320,-118416700
Majuba,L5,370,Found,1/1/1999,40626500,-118410330
Majuba 003,H4,1306,Found,1/1/2003,40630780,-118409180
Majuba 007,H4,1823.3,Found,1/1/2007,40616670,-118384720
Jungo 001,L6,70.7,Found,1/1/2007,40890550,-118362780
Jungo 002,H6,27.8,Found,1/1/2007,40898050,-118353880
Jungo 003,H6,29.1,Found,1/1/2007,40958050,-118353050
Imlay,L5,770,Found,1/1/2009,40740180,-118172850
Rosamond,LL3,11.1,Found,1/1/2012,34827930,-118146400
Chuckwalla,"Iron, IAB-MG",1802,Found,1/1/1992,35250000,-118090670
Rosamond Dry Lake,L,850,Found,1/1/1940,34833330,-118066670
Owens Valley,"Iron, IIIAB",192800,Found,1/1/1913,37466670,-118000000
Littlerock,H6,19050,Found,1/1/1979,34516670,-117983330
Peace River,L6,45760,Fell,1/1/1963,56133330,-117933330
