,name,mass,fall,year,reclat,reclong
26213,Mount Moroto,752.0,Found,01/01/1995,2.5,34.75
9370,El Médano 141,752.0,Found,01/01/2011,-24.85,-70.53333
1232,Acfer 118,752.0,Found,01/01/1990,27.66667,4.2
7929,Dhofar 554,751.0,Found,01/01/2001,18.72237,54.3784
6920,Dhofar 025,751.0,Found,01/01/2000,18.40333,54.151669999999996
22892,Mangum,750.0,Found,01/01/2008,34.849,-99.704
37425,Seguin,750.0,Found,01/01/1956,39.36667,-100.63333
6891,Derrick Peak A78016,750.0,Found,01/01/1978,-80.06667,156.38333
26176,Morokweng,750.0,Found,01/01/2004,-26.37247,23.52395
1447,Acfer 331,750.0,Found,01/01/2001,27.58333,4.0166699999999995
1874,Allan Hills 84079,749.6,Found,01/01/1984,-76.90892,156.87923999999998
38351,Wisconsin Range 91605,748.6,Found,01/01/1991,-86.54488,-123.84895
22950,Metameur 001,748.0,Found,01/01/2005,33.35,10.4
24208,Miller Range 07024,747.4,Found,01/01/2007,0.0,0.0
34656,Queen Alexandra Range 99025,747.2,Found,01/01/1999,-84.0,168.0
16080,Hammadah al Hamra 105,747.0,Found,01/01/1995,28.6765,13.42767
7849,Dhofar 474,747.0,Found,01/01/2001,19.16778,54.76806
22937,Menindee Lakes 001,747.0,Found,01/01/1969,-33.16667,141.75
30115,Northwest Africa 6868,747.0,Found,01/01/2011,0.0,0.0
24403,Miller Range 07021,746.7,Found,01/01/2007,0.0,0.0
1320,Acfer 205,746.0,Found,01/01/1991,27.7375,4.32806
9707,Elephant Moraine 87557,745.3,Found,01/01/1987,-76.18333,157.16666999999998
1443,Acfer 327,745.22,Found,01/01/2001,27.73333,4.433330000000001
17495,LaPaz Icefield 02214,745.1,Found,01/01/2002,-86.36667,-70.0
16500,Ilafegh 013,745.0,Found,01/01/1989,21.66667,1.38333
37077,Sayh al Uhaymir 171,745.0,Found,01/01/2002,21.01333,57.31833
7827,Dhofar 451,745.0,Found,01/01/2001,18.9108,54.47493000000001
25102,Miller Range 090024,744.7,Found,01/01/2009,0.0,0.0
2082,Allan Hills 85020,744.3,Found,01/01/1985,-76.90701,156.78603
2695,Allan Hills A77260,744.3,Found,01/01/1977,-76.71667,159.66666999999998
6423,Dar al Gani 652,744.0,Found,01/01/1999,26.98333,16.383329999999997
29820,Northwest Africa 6305,743.0,Found,01/01/2009,0.0,0.0
35617,Ramlat as Sahmah 205,742.79,Found,01/01/2003,20.62973,56.16911999999999
8111,Dhofar 750,742.0,Found,01/01/2000,18.83783,54.67117
19130,Larkman Nunatak 06286,741.8,Found,01/01/2006,0.0,0.0
4519,Asuka 881567,740.76,Found,01/01/1988,-72.0,26.0
6234,Dar al Gani 462,740.0,Found,01/01/1998,28.01517,15.86367
6680,Dar al Gani 915,740.0,Found,01/01/2000,27.35,16.183329999999998
6092,Dar al Gani 319,740.0,Found,01/01/1997,27.028,16.35867
16179,Hammadah al Hamra 203,740.0,Found,01/01/1997,28.44117,12.9795
7500,Dhofar 1694,740.0,Found,01/01/2010,19.109779999999997,54.81697
23714,Meteorite Hills 01020,739.4,Found,01/01/2001,-79.68333,159.75
28809,Northwest Africa 4609,738.3,Found,01/01/2006,0.0,0.0
30804,Northwest Africa 828,738.0,Found,01/01/2000,30.3,-5.91667
6001,Dar al Gani 228,738.0,Found,01/01/1997,27.13717,15.8445
8284,Dhofar 969,737.4,Found,01/01/2004,19.30022,54.85844
37852,Tanezrouft 052,737.0,Found,01/01/1992,25.26306,-0.18889
37813,Tanezrouft 012,736.0,Found,01/01/1991,25.43694,0.49388999999999994
30556,Northwest Africa 7534,736.0,Found,01/01/2012,0.0,0.0
1823,Allan Hills 84028,735.9,Found,01/01/1984,-76.77065999999999,158.8921
16695,Jiddat al Harasis 233,735.8,Found,01/01/2005,19.999879999999997,56.41498000000001
16827,Jiddat al Harasis 364,735.6,Found,01/01/2003,19.54553,56.04363000000001
